pregunta;respuesta;'tema'
¿Por qué es importante entender la diferencia entre Internet y la World  Wide Web al desarrollar aplicaciones web?;Internet es la infraestructura física y de protocolos que conecta dispositivos, mientras que la Web es un servicio que funciona sobre ella para compartir documentos e información. Entenderlo ayuda a elegir las tecnologías correctas para comunicar tu app con servidores.;'Introduccion'
¿Cuál es la ventaja de la arquitectura cliente-servidor en el desarrollo web moderno ?;Separa responsabilidades: el cliente (navegador) maneja la interfaz y el servidor procesa datos y lógica de negocio. Esto facilita la escalabilidad, la seguridad y el mantenimiento independiente de cada parte.;'Introduccion'
¿Por qué los navegadores necesitan interpretar HTML, CSS y JavaScript de manera separada?;Cada lenguaje cumple una función específica (estructura, presentación y comportamiento). Interpretarlos por separado permite al navegador optimizar el renderizado, aplicar estilos y ejecutar interacciones de forma eficiente.;'Introduccion'
¿Qué beneficios trae la separación de responsabilidades entre HTML (estructura), CSS (presentación) y JavaScript (comportamiento)?;Facilita el mantenimiento del código, permite que equipos especializados trabajen en paralelo, mejora el rendimiento de carga y evita conflictos entre estilos y funcionalidades.;'Introduccion'
¿Por qué es fundamental que un desarrollador web comprenda el modelo de petición-respuesta HTTP?;Es la base de toda comunicación web. Entender cómo el navegador pide recursos y cómo el servidor responde permite depurar errores, gestionar estados, caché y diseñar APIs funcionales.;'Introduccion'
¿Cuá l es la importancia de los estándares web (W3C) para el desarrollo de aplicaciones?;Garantizan que el código funcione de forma consistente en todos los navegadores y dispositivos, previenen comportamientos inesperados y aseguran accesibilidad y compatibilidad a largo plazo.;'Introduccion'
¿Por qué deberíamos preocuparnos por la co mpatibilidad entre diferentes navegadores al desarrollar sitios web?;Los usuarios acceden desde Chrome, Firefox, Safari, Edge, etc. Un sitio incompatible genera errores visuales o funcionales, lo que deteriora la experiencia y reduce la retención de visitantes.;'Introduccion'
¿Qué ventajas tiene usar un servidor web en lugar de abri r archivos HTML directamente desde el sistema de archivos?;Simula el entorno real de producción, permite probar rutas relativas, manejar CORS, cargar módulos JS correctamente y evita errores de seguridad que ocurren con el protocolo file://.;'Introduccion'
¿Por qué es importante entender que el HTML es solo texto plano que  el navegador interpreta?;Porque el navegador convierte ese texto en elementos visuales según las reglas del DOM. Entenderlo evita confusiones al depurar, ayuda a escribir código válido y facilita la optimización de carga.;'Introduccion'
¿Cuál es el rol del desarrollador frontend en la arquitectura web moderna?;Transformar diseños y requisitos en interfaces funcionales, accesibles y responsivas, asegurando que la interacción con el usuario sea fluida y que el código se comunique correctamente con el backend.;'Introduccion'
¿Por qué es importante validar que nuestro HTML cumpla con los estándares establecidos?;Para garantizar que el sitio sea accesible, compatible con lectores de pantalla, indexable por buscadores y que funcione correctamente en diferentes navegadores sin errores de renderizado.;'Introduccion'
¿Qué impl icaciones tiene para el usuario final que un sitio web esté bien estructurado?;Mejora la velocidad de carga, facilita la navegación, permite el uso de tecnologías asistivas y transmite profesionalismo, lo que aumenta la confianza y la satisfacción del usuario.;'Introduccion'
¿Por qué el concepto de hipertexto revolucionó  la forma en que consumimos información en la web?;Permite conectar documentos de forma no lineal mediante enlaces, facilitando la navegación libre, la organización de contenidos interconectados y el acceso inmediato a información relacionada.;'Introduccion'
¿Cuál es la importancia de entender cómo funciona el DNS al desarrollar apli caciones web?;Traduce nombres de dominio legibles en direcciones IP de servidores. Es esencial para configurar dominios personalizados, subdominios, resolver errores de conexión y entender el ciclo de vida de una web.;'Introduccion'
¿Por qué es relevante conocer la historia y evolución de la web para un desarrollador moderno?;Ayuda a entender por qué ciertas prácticas son obsoletas, cómo surgieron las mejores prácticas actuales y cómo anticipar tendencias, evitando repetir errores del pasado.;'Introduccion'
¿Qué ventajas tiene el uso de protocolos estandarizados en la comunicación web?;Aseguran que cualquier servidor y cliente puedan comunicarse sin importar el fabricante, garantizando interoperabilidad, seguridad y un ecosistema web abierto y escalable.;'Introduccion'
¿Por qué  es importante que un desarrollador comprenda la diferencia entre contenido estático y dinámico?;Para decidir qué tecnologías usar, optimizar la carga del servidor, entender cómo se actualiza la información y diseñar estrategias de caché y rendimiento adecuadas.;'Introduccion'
¿Cuál es el impacto de una bue na arquitectura de información en la experiencia del usuario?;Permite encontrar contenido rápidamente, reduce la carga cognitiva, mejora la navegación intuitiva y aumenta las tasas de conversión y retención.;'Introduccion'
¿Por qué debemos considerar la accesibilidad desde las primeras  etapas del desarrollo web?;Porque es más económico y fácil implementarla desde el inicio que reescribir código después, y es un derecho fundamental que garantiza que todas las personas puedan usar tu sitio.;'Introduccion'
¿Qué beneficios trae usar herramientas de desarrollo (DevTools) del navegador en nuestro flujo de t rabajo?;Permiten inspeccionar elementos, depurar errores en tiempo real, analizar rendimiento de red, simular dispositivos móviles y probar cambios sin recargar la página, acelerando el desarrollo.;'Introduccion'
¿Por qué es importante usar HTML semántico en lugar de solo  <div > y  <span >?;Porque las etiquetas semánticas describen el significado del contenido, mejoran la accesibilidad, facilitan el SEO y hacen el código más legible y mantenible para otros desarrolladores.;'HTML'
¿Qué beneficios trae usar  <header >,  <nav >,  <main >,  <article >,  <section > y  <footer > en lugar de  <div > genéricos?;Estructuran lógicamente la página, permiten a navegadores y buscadores entender el propósito de cada sección y mejoran la navegación por teclado y lectores de pantalla.;'HTML'
¿Por qué los IDs en HTML deben ser únicos en toda la página?;Porque se usan para identificar elementos específicos en CSS y JS. Si se repiten, los estilos y scripts pueden aplicarse de forma impredecible, generando errores difíciles de depurar.;'HTML'
¿Cuál es la diferencia entre usar un ID  y una clase, y cuándo deberíamos usar cada uno?;Un ID identifica un único elemento y una clase agrupa varios elementos con características similares. Usa ID para elementos únicos (como un menú principal) y clases para estilos reutilizables.;'HTML'
¿Por qué es importante que cada página tenga un solo  <h1 >?;Define el tema principal de la página para buscadores y lectores de pantalla. Tener múltiples H1 confunde a los algoritmos de SEO y dificulta la comprensión jerárquica del contenido.;'HTML'
¿Qué impacto tiene una jerarquía de encabezados bien estructurada ( <h1 > a  <h6 >) en la accesibilidad?;Permite a usuarios de lectores de pantalla navegar rápidamente por el contenido y entender la relación entre secciones, mejorando la experiencia para personas con discapacidades visuales.;'HTML'
¿Por qué deberíamos usar  <button > en lugar de  <div > con un event listener para acciones clickeables?;Porque <button> incluye comportamientos nativos de accesibilidad, navegación por teclado y estados visuales sin necesidad de código extra, cumpliendo estándares web desde el inicio.;'HTML'
¿Cuál es la importancia del atributo  "alt " en las imágenes más allá de mostrar texto cuando la imagen no carga?;Es esencial para accesibilidad, ya que describe el contenido a usuarios con lectores de pantalla, y mejora el SEO al proporcionar contexto a los motores de búsqueda sobre la imagen.;'HTML'
¿Por qué es mejor usar  <strong > y  <em > en lugar de  <b > e  <i > para enfatizar texto?;Porque <strong> y <em> indican importancia semántica y énfasis, respectivamente, mientras que <b> e <i> solo aplican estilos visuales. La semántica mejora la accesibilidad y el SEO.;'HTML'
¿Qué ventajas tiene usar listas ( <ul >,  <ol >) en lugar de múltiples  <div > o  <p > para contenido listado?;Transmiten estructura lógica, mejoran la accesibilidad para lectores de pantalla y permiten aplicar estilos coherentes sin depender de divs anidados innecesarios.;'HTML'
¿Por qué el atributo  "name " es crucial en los campos de formulario?;Identifica el campo al enviar los datos al servidor. Sin él, el backend no puede reconocer qué valor corresponde a qué campo, rompiendo la funcionalidad del formulario.;'HTML'
¿Cuál es la importancia de asociar  <label > con sus respectivos  <input > usando el atributo  "for "?;Mejora la accesibilidad al permitir hacer clic en el texto para enfocar el campo, y ayuda a lectores de pantalla a leer la etiqueta correcta, facilitando la navegación por teclado.;'HTML'
¿Por qué deberíamos usar el atributo  "required " en lugar de validar solo con JavaScript?;Proporciona validación nativa del navegador incluso con JS desactivado, mejora la accesibilidad y reduce la cantidad de código necesario para validaciones básicas.;'HTML'
¿Qué beneficios trae usar los tipos de input correctos (email, tel, date, etc.) en HTML5?;Los navegadores muestran teclados optimizados en móviles, aplican validaciones automáticas y mejoran la experiencia de usuario sin necesidad de librerías externas.;'HTML'
¿Por qué es importante incluir el DOCTYPE al inicio de un documento HTML?;Indica al navegador que debe renderizar la página en modo estándar (no quirks), asegurando que el CSS y el DOM se comporten según las especificaciones modernas.;'HTML'
¿Cuál es el propósito de la etiqueta  <meta charset= "UTF-8 " > y por qué no debería omitirse?;Define la codificación de caracteres del documento, permitiendo mostrar correctamente acentos, emojis y símbolos de múltiples idiomas sin errores de visualización.;'HTML'
¿Por qué deberíamos incluir una meta descripción en el  <head > de nuestras páginas?;Proporciona un resumen conciso que los buscadores muestran en los resultados, mejorando la tasa de clics y el SEO, aunque no afecta directamente al ranking.;'HTML'
¿Qué impacto tiene en el SEO el uso correcto de etiquetas semánticas?;Ayuda a los motores de búsqueda a comprender la estructura y el propósito del contenido, lo que puede mejorar la indexación y el posicionamiento en resultados de búsqueda.;'HTML'
¿Por qué es mejor usa r  <nav > para menús de navegación en lugar de un  <div class= "nav " >?;Indica semánticamente que el contenido es un bloque de navegación, mejorando la accesibilidad y permitiendo a tecnologías asistivas saltar directamente al menú.;'HTML'
¿Cuándo deberíamos usar  <article > y cuándo  <section >?;Usa <article> para contenido independiente que podría redistribuirse (como una noticia o post), y <section> para agrupar temas relacionados dentro de un documento más grande.;'HTML'
¿Qué beneficios trae usar  <aside > para contenido relacionado pero no principal?;Separa semánticamente información secundaria como barras laterales o anuncios, mejorando la estructura del documento y la lectura por parte de buscadores y lectores de pantalla.;'HTML'
¿Por qué es importante mantener la estructura HTML separada de los estilos visuales?;Permite actualizar el diseño sin tocar el contenido, facilita la colaboración, reduce el tamaño de los archivos y mejora la velocidad de carga y mantenimiento.;'HTML'
¿Cuál es el problema de usar tablas ( <table >) para maquetar el diseño de una página?;Las tablas están diseñadas para datos tabulares, no para layouts. Usarlas para diseño genera código rígido, dificulta la responsividad y perjudica la accesibilidad.;'HTML'
¿Por qué deberíamos evitar el uso excesivo de  <br > para crear espaciado?;Porque <br> indica un salto de línea semántico, no un espacio visual. Usar CSS (margin, padding) es más flexible, accesible y mantiene la separación de responsabilidades.;'HTML'
¿Qué ventajas tiene usar comentarios HTML de manera estratégica en el código?;Ayuda a otros desarrolladores (y a ti mismo en el futuro) a entender secciones complejas, sin afectar el rendimiento ni la visualización del navegador.;'HTML'
¿Por qué es importante  validar nuestro HTML con herramientas como el validador de W3C?;Detecta errores de sintaxis y malas prácticas que pueden causar problemas de renderizado, accesibilidad o SEO, asegurando que el código siga los estándares web.;'HTML'
¿Cuál es la importancia de mantener un HTML limpio y bien indentado?;Mejora la legibilidad, facilita la detección de errores, agiliza el trabajo en equipo y hace que el código sea más fácil de mantener a largo plazo.;'HTML'
¿Por qué deberíamos evitar atributos HTML obsoletos como  "align " o  "bgcolor "?;Porque mezclan presentación con estructura, están obsoletos en HTML5 y su comportamiento puede variar entre navegadores. CSS debe manejar toda la presentación visual.;'HTML'
¿Qué impacto tiene en la mantenibilidad del código usar nombres descriptivos en IDs y clases?;Permite que cualquier desarrollador entienda rápidamente el propósito de cada elemento, reduce errores al modificar estilos o scripts y acelera la depuración.;'HTML'
¿Por qué es mejor usar  <a > para enlaces y  <button > para acciones, no intercambiarlos?;Cada elemento tiene un comportamiento semántico y de accesibilidad específico. <a> navega a recursos, <button> ejecuta acciones; intercambiarlos confunde a usuarios y lectores de pantalla.;'HTML'
¿Cuál es la importancia del atributo  "href " en los enlaces y qué pasa si lo omitimos?;Define el destino del enlace. Sin él, el elemento pierde su funcionalidad semántica, no es navegable por teclado y los buscadores no lo indexan como enlace válido.;'HTML'
¿Por qué deberíamos usar rutas relativas en lugar de absolutas cuando sea posible?;Facilita la portabilidad del proyecto entre entornos (local, staging, producción) y evita errores si cambia el dominio o la estructura de carpetas del servidor.;'HTML'
¿Qué beneficios trae usar el atributo  "target " de manera consciente en los enlaces?;Permite controlar si el enlace se abre en la misma pestaña o en una nueva, mejorando la experiencia de usuario al evitar que pierdan el contexto de tu sitio.;'HTML'
¿Por qué es importante el orden de carga de los recursos (CSS en  <head >, JS antes de  </body >)?;CSS se carga primero para evitar parpadeos visuales (FOUC), y JS al final para no bloquear el renderizado del contenido visible, mejorando el rendimiento percibido.;'HTML'
¿Cuál es el impacto de un HTML bien estructurado en el rendimiento de la página?;Reduce el tamaño del DOM, facilita la aplicación eficiente de CSS y permite al navegador renderizar más rápido, mejorando los Core Web Vitals.;'HTML'
¿Por qué deberíamos usar  <figure > y  <figcaption > para imágenes con descripciones?;Asocian semánticamente la imagen con su leyenda, mejorando la accesibilidad y permitiendo a buscadores entender mejor el contexto visual del contenido.;'HTML'
¿Qué ventajas tiene usar  <time > para fechas y horas en lugar de texto plano?;Proporciona formato estandarizado (atributo datetime) que los navegadores y buscadores pueden interpretar automáticamente para calendarios, recordatorios o SEO.;'HTML'
¿Por qué es importante usar atributos ARIA cuando el HTML semántico no es suficiente?;Permite comunicar roles, estados y propiedades a tecnologías asistivas en interfaces complejas, garantizando accesibilidad cuando las etiquetas nativas no cubren el caso de uso.;'HTML'
¿Cuál es el impacto de una buena estructura HTML en los lectores de pantalla?;Permite a los usuarios navegar por encabezados, listas y regiones semánticas, comprendiendo el contenido de forma lógica y eficiente sin depender del diseño visual.;'HTML'
¿Por qué deberíamos evitar el uso de elementos inline p ara contenido de bloque?;Porque rompen las reglas de flujo del documento, causan errores de validación y pueden generar comportamientos de renderizado impredecibles en distintos navegadores.;'HTML'
¿Qué beneficios trae usar  <details > y  <summary > para contenido expandible?;Proporciona interactividad nativa sin JavaScript, mejora la accesibilidad con soporte de teclado y lectores de pantalla, y reduce la carga del DOM.;'HTML'
¿Por qué es importante el atributo  "lang " en la etiqueta  <html >?;Indica el idioma principal de la página, permitiendo a navegadores y lectores de pantalla aplicar pronunciación correcta, correctores ortográficos y mejores estrategias de indexación.;'HTML'
¿Cuál es la importancia de usar  <title > descriptivos y únicos para cada página?;Es el primer elemento que ven los usuarios en pestañas y resultados de búsqueda, mejora el SEO y ayuda a identificar rápidamente el contenido de la página.;'HTML'
¿Por qué deberíamos usar  <link rel= "canonical " > en páginas con contenido duplicado?;Indica a los buscadores cuál es la versión original, evitando penalizaciones por contenido duplicado y consolidando el valor SEO en una única URL.;'HTML'
¿Qué impacto tiene en la experiencia móvil el uso de  <meta name= "viewport " >?;Controla cómo se escala y muestra la página en pantallas pequeñas, permitiendo diseños responsivos sin zoom excesivo ni desplazamiento horizontal incómodo.;'HTML'
¿Por qué es mejor usar formularios con método POST para datos sensibles?;Porque POST envía los datos en el cuerpo de la petición HTTP, no en la URL, evitando que queden visibles en el historial, logs o favoritos del navegador.;'HTML'
¿Cuál es la importancia de usar  <fieldset > y  <legend > para agrupar campos relacionados?;Mejora la accesibilidad al indicar visual y semánticamente la relación entre campos, facilitando la navegación por teclado y la comprensión del formulario.;'HTML'
¿Por qué deberíamos usar el atributo  "placeholder " con cuidado y no como reemplazo de  <label >?;El placeholder desaparece al escribir, lo que dificulta recordar qué se está completando y perjudica la accesibilidad. Siempre debe usarse junto a un label visible.;'HTML'
¿Qué beneficios trae usar  <select > en lugar de múltiples radio buttons cuando hay muchas opciones?;Ahorra espacio visual, facilita la navegación en móviles y reduce la carga cognitiva, manteniendo la misma funcionalidad de selección única.;'HTML'
¿Por qué es importante usar  <textarea > en lugar de  <input type= "text " > para textos largos?;Porque <textarea> está diseñado para múltiples líneas, permite ajuste de tamaño, scroll y manejo nativo de texto largo, mejorando la experiencia de escritura.;'HTML'
¿Cuál es el impacto de usar atributos de validación HTML5 en la experiencia del usuario?;Proporciona retroalimentación inmediata y nativa del navegador, reduce la necesidad de JavaScript para validaciones básicas y mejora la accesibilidad.;'HTML'
¿Por qué debe ríamos evitar anidar formularios dentro de otros formularios?;HTML no permite anidar formularios válidamente. Hacerlo provoca comportamientos impredecibles al enviar datos, confundiendo al navegador y rompiendo la funcionalidad.;'HTML'
¿Qué ventajas tiene usar  <datalist > para autocompletado en inputs?;Ofrece sugerencias predefinidas sin limitar la entrada del usuario, mejora la UX en campos complejos y funciona nativamente sin librerías externas.;'HTML'
¿Por qué es importante usar  <progress > y  <meter > para indicadores visuales?;Proporcionan semántica clara a lectores de pantalla y navegadores, permitiendo una accesibilidad integrada y un diseño coherente sin depender de CSS complejo.;'HTML'
¿Cuál es la importancia de mantener el HTML accesible desde el teclado (tabindex)?;Garantiza que usuarios que no usan mouse puedan navegar, interactuar y completar formularios, cumpliendo estándares de accesibilidad y llegando a más personas.;'HTML'
¿Por qué deb eríamos evitar el uso de frames e iframes innecesarios?;Fragmentan la experiencia de usuario, dificultan la navegación, afectan el SEO y pueden introducir vulnerabilidades de seguridad (clickjacking) si no se controlan correctamente.;'HTML'
¿Qué impacto tiene en el SEO el uso correcto de la estructura de encabezados?;Ayuda a los motores de búsqueda a jerarquizar el contenido, entender los temas principales y secundarios, y mejorar la relevancia de la página para consultas específicas.;'HTML'
¿Por qué es mejor usar  <video > y  <audio > nativos en lugar de plugins externos?;Son compatibles con todos los navegadores modernos, no requieren Flash o plugins inseguros, y ofrecen controles nativos de accesibilidad y responsividad.;'HTML'
¿Cuál es la importancia de proporcionar alternativas textuales para contenido multimedia?;Permite que usuarios con discapacidades visuales o auditivas comprendan el contenido, y ayuda a los buscadores a indexar correctamente la información.;'HTML'
¿Por qué deberíamos usar  <picture > para imágenes responsivas en lugar de solo  <img >?;Permite servir diferentes formatos o resoluciones según el dispositivo o condiciones de red, optimizando la carga y mejorando el rendimiento sin duplicar código.;'HTML'
¿Por qué es mejor usar hojas de estilo externas en lugar de estilos en  línea (atributo style)?;Permite la reutilización de estilos en múltiples páginas, facilita el mantenimiento, reduce el tamaño del HTML y habilita la caché del navegador para mejorar el rendimiento.;'CSS'
¿Cuál es el problema de usar estilos en línea desde la perspectiva de mantenibilidad?;Mezcla estructura y presentación, duplica código, dificulta las actualizaciones globales y anula la ventaja de la cascada CSS, haciendo el proyecto frágil y difícil de escalar.;'CSS'
¿Por qué deberíamos evitar el uso de !important en CSS?;Rompe la cascada natural, dificulta la depuración, crea conflictos difíciles de resolver y es una señal de que la arquitectura de selectores necesita revisión.;'CSS'
¿Qué ventajas tiene entender la especificidad de selectores CSS?;Permite predecir qué estilos se aplicarán, evitar conflictos, escribir código más limpio y depurar problemas de herencia o sobrescritura de forma eficiente.;'CSS'
¿Por qué es importante la cascada en CSS y cómo afecta nuestras decisiones de diseño?;Define el orden de prioridad de los estilos. Entenderla permite estructurar hojas de estilo lógicamente, sobrescribir valores de forma controlada y evitar código redundante.;'CSS'
¿Cuál es la importancia de usar selectores de clase e n lugar de selectores de ID para estilos?;Las clases son reutilizables, tienen menor especificidad y facilitan la composición de estilos. Los IDs son para identificación única y su alta especificidad complica la sobrescritura.;'CSS'
¿Por qué deberíamos usar el selector universal (*) con precaución?;Afecta a todos los elementos, lo que puede impactar negativamente el rendimiento, causar estilos no deseados y dificultar el mantenimiento en proyectos grandes.;'CSS'
¿Qu é beneficios trae usar metodologías como BEM para nombrar clases CSS?;Estandariza la nomenclatura, evita conflictos de nombres, facilita la colaboración en equipo y hace que los estilos sean más predecibles y fáciles de mantener.;'CSS'
¿Por qué es importante entender el modelo de caja (box model) en CSS?;Define cómo se calculan el ancho, alto, padding, border y margin de un elemento. Dominarlo es esencial para crear layouts precisos y evitar desbordamientos o espacios inesperados.;'CSS'
¿Cuál es la diferencia entre content-box y border-box, y cuándo usar cada uno?;content-box incluye solo el contenido en el tamaño; border-box incluye padding y border. border-box es más intuitivo para layouts y se recomienda como práctica estándar.;'CSS'
¿Por qué box-sizing: border-b ox es considerado una mejor práctica para layouts?;Permite definir el ancho total del elemento incluyendo padding y bordes, evitando cálculos manuales y desbordamientos, lo que simplifica la creación de grids y componentes.;'CSS'
¿Qué impacto tiene en el diseño no entender la diferencia entre margin y padding?;Puede generar espacios internos o externos incorrectos, romper alineaciones, causar desbordamientos y hacer que los elementos no se comporten como se espera en el layout.;'CSS'
¿Por qué deberíamos usar unidades relativas (em, rem, %) en lugar de píxeles fijos?;Permiten que los diseños se adapten al tamaño de pantalla, preferencias del usuario y zoom del navegador, mejorando la accesibilidad y la responsividad sin media queries complejas.;'CSS'
¿Cuál es la ventaja de usar rem  sobre em para tamaños de fuente?;rem se basa siempre en el tamaño raíz del documento, evitando efectos de anidamiento acumulativo que ocurren con em, lo que hace los escalados más predecibles y consistentes.;'CSS'
¿Por qué es importante usar variables CSS (custom properties) en proyectos grandes?;Centralizan valores como colores, fuentes y espaciados, facilitan cambios globales instantáneos, reducen duplicación y permiten temas dinámicos sin preprocessors.;'CSS'
¿Qué beneficios trae mantener un archivo CSS organizado y comentado?;Acelera la ubicación de estilos, facilita la incorporación de nuevos desarrolladores, documenta decisiones de diseño y reduce errores al modificar código existente.;'CSS'
¿Por qué deberíamos evitar selectores demasiado específicos o anidados  profundamente?;Aumentan la especificidad innecesariamente, dificultan la sobrescritura, ralentizan el renderizado y acoplan el CSS a la estructura HTML, reduciendo la flexibilidad.;'CSS'
¿Cuál es el impacto en el rendimiento de tener archivos CSS muy grandes?;Aumenta el tiempo de descarga, bloquea el renderizado inicial y consume más memoria. Dividir en módulos y eliminar código no usado mejora significativamente la velocidad.;'CSS'
¿Por qué es importante u sar reset o normalize CSS al inicio de un proyecto?;Elimina o estandariza las diferencias de estilos por defecto entre navegadores, asegurando un punto de partida consistente y evitando comportamientos visuales inesperados.;'CSS'
¿Qué ventajas tiene usar fuentes web (@font-face) de manera optimizada?;Permite usar tipografías personalizadas que refuerzan la identidad visual, y al optimizarlas se reduce el impacto en el rendimiento y se evitan saltos de texto (FOIT/FOUT).;'CSS'
¿Por qué deberíamos considerar el rendimiento al cargar fuentes personalizadas?;Las fuentes sin optimizar bloquean el renderizado, aumentan el peso de la página y pueden causar parpadeos. Usar formatos modernos (woff2) y font-display mejora la UX.;'CSS'
¿Cuál es la importancia de usar fallback fonts en  la propiedad font-family?;Garantiza que el texto siga siendo legible si la fuente principal falla o tarda en cargar, manteniendo la coherencia visual y la accesibilidad en todos los entornos.;'CSS'
¿Por qué es mejor usar colores en formato hexadecimal, RGB o HSL según el contexto?;Hex es compacto para colores estáticos, RGB permite control de canal, y HSL facilita ajustes intuitivos de luminosidad y saturación, mejorando la mantenibilidad del diseño.;'CSS'
¿Q ué beneficios trae usar RGBA para transparencias en lugar de opacity?;RGBA aplica transparencia solo al color de fondo o texto sin afectar a los elementos hijos, mientras que opacity afecta todo el contenedor, lo que limita la composición visual.;'CSS'
¿Por qué deberíamos usar display: none vs visibility: hidden según el caso?;display: none elimina el elemento del flujo del documento, mientras visibility: hidden lo oculta pero mantiene su espacio. Elegir correctamente evita saltos de layout o accesibilidad rota.;'CSS'
¿Cuál es la diferencia entre display: block, inline e inline-block, y cuándo usar cada uno?;block ocupa todo el ancho y permite saltos de línea, inline fluye en el texto sin saltos, e inline-block combina ambos. Elegir bien controla el flujo y la alineación de elementos.;'CSS'
¿Por qué es importan te entender el contexto de apilamiento (z-index) en CSS?;Controla el orden visual de elementos superpuestos. Entenderlo evita que capas se tapen incorrectamente, facilita la creación de menús, modales y efectos de profundidad.;'CSS'
